date,ndvi,max_temp,min_temp,rainfall_mm,bloom,ndvi_growth,ndvi_volatility,temp_avg_7d,heat_wave,rain_cum_30d
2012-07-27,0.0759,,,,0,-0.039400000000000004,0.059203490888067756,,0,
2012-08-12,0.2519,,,,0,0.17600000000000002,0.09236514494115292,,0,
2012-08-28,0.0577,,,,0,-0.1942,0.10725427730398537,,0,
2012-09-13,-0.1608,,,,0,-0.2185,0.20646919867137617,,0,
2012-09-29,0.2342,,,,0,0.395,0.19787180193246384,,0,
2012-10-15,0.1968,,,,0,-0.03739999999999999,0.21806020575367144,,0,
2012-10-31,0.4545,,,,0,0.25770000000000004,0.1392480640200555,,0,
2012-11-16,0.4447,,,,0,-0.009800000000000031,0.1460363767468005,,0,
2012-12-02,0.1243,,,,0,-0.3204,0.1878759519825075,,0,
2012-12-18,0.09,,,,0,-0.0343,0.1956377349422485,,0,
2013-01-01,0.2088,,,,0,0.11880000000000002,0.061142156760564975,,0,
