Date,Rain,Temp Max,Temp Min,Location,Rain,Temp Max,Temp Min,Location
29-06-2010,0,37.59000015,26.29999924,,0,37.49000168,27.45000076,
30-06-2010,0,37.13999939,26.80999947,,0,37.49000168,27.87999916,
01-07-2010,0,36.81999969,26.85000038,,0,37.09000015,28.03000069,
02-07-2010,0,35.33000183,26.62000084,,0,35.40999985,27.80999947,
03-07-2010,7.409042835,35.20000076,23.89999962,,1.151519418,35,24.96999931,
04-07-2010,20.00924301,31.62999916,22.94000053,,19.13253021,31.84000015,23.98999977,
05-07-2010,47.89571381,30.86000061,23.39999962,,1.017457843,31.54000092,24.45999908,
06-07-2010,1.75287807,32.75,24.18000031,,1.84618187,33.58000183,25.20999908,
07-07-2010,0.5623523,32.22000122,24.11000061,,28.67506027,32.84999847,25.02000046,
08-07-2010,13.69104671,33.06000137,24.42000008,,31.94598198,33.47999954,25.39999962,
09-07-2010,0,32.22999954,24.67000008,,9.730079651,32.63999939,25.54999924,
10-07-2010,0,33.86000061,24.81999969,,9.117607117,33.97000122,25.85000038,
11-07-2010,23.53352737,33.25999832,25.21999931,,3.517512321,33.61000061,26.23999977,
12-07-2010,0,32.47999954,24.86000061,,0.508728921,33.20000076,26.05999947,
13-07-2010,0,33.45000076,24.63999939,,1.526186705,34.11000061,25.92000008,
14-07-2010,0,34.68000031,25.57999992,,1.218402267,35.34000015,26.87999916,
15-07-2010,1.141921401,34.65000153,25.21999931,,9.380063057,35.33000183,26.36000061,
16-07-2010,3.571577311,34.18000031,25.65999985,,0,34.50999832,26.88999939,
17-07-2010,2.646035671,33.66999817,25.23999977,,4.62573576,34.09999847,26.54999924,
18-07-2010,0.10558375,33.45999908,24.97999954,,0,34,26.20000076,
19-07-2010,0,33.65999985,25.56999969,,0,34.36999893,26.72999954,
20-07-2010,0,33.65999985,25.37000084,,0,34.11000061,26.67000008,
21-07-2010,0,33.09999847,24.79000092,,0,33.61000061,26.14999962,
22-07-2010,3.571577311,32.15999985,24.64999962,,19.36048889,32.61000061,25.92000008,
23-07-2010,37.67748642,31.84000015,24.15999985,,22.14393234,32.91999817,25.37999916,
24-07-2010,19.12470245,30.36000061,24.39999962,,0.744136631,31.71999931,25.69000053,
25-07-2010,54.66439056,28.29000092,23.97999954,,17.26836967,29.72999954,25.35000038,
26-07-2010,83.95236969,26.79999924,23.29999924,,23.18953133,28.47999954,24.63999939,
27-07-2010,5.56437254,29.45000076,23.64999962,,1.0543679,31.12000084,24.98999977,
28-07-2010,5.179519176,31.37000084,23.80999947,,0,33.00999832,25.20999908,
29-07-2010,0.382455707,32.65999985,23.54000092,,0.133962944,33.90999985,24.88999939,
30-07-2010,0,31.81999969,24.37000084,,0,32.77999878,25.78000069,
31-07-2010,4.982401848,31.19000053,24.01000023,,0,32.40000153,25.43000031,
01-08-2010,1.19052577,29.72999954,23.62999916,,5.698172569,30.5,25.02000046,
02-08-2010,24.02599716,29.31999969,23.39999962,,30.42560768,30.43000031,24.68000031,
03-08-2010,22.70351219,29.01000023,23.09000015,,7.31651926,29.89999962,24.42000008,
04-08-2010,33.59940338,28.73999977,23.01000023,,91.02958679,29.70000076,24.27000046,
05-08-2010,12.6041069,30.95000076,22.60000038,,60.30205536,31.71999931,23.87999916,
06-08-2010,0,29.30999947,24.04000092,,0,30.35000038,25.46999931,
07-08-2010,8.699464798,29.54000092,23.31999969,,2.200944185,29.98999977,24.79999924,
08-08-2010,40.87093735,29.27000046,23.19000053,,20.26944351,30.22999954,24.18000031,
09-08-2010,5.921768188,30.29999924,22.95999908,,69.2739563,31.54999924,24.28000069,
10-08-2010,15.00806236,30.69000053,23.87000084,,10.04817963,31.68000031,25.18000031,
11-08-2010,0,32.09000015,23.87999916,,0,32.90999985,25.12999916,
12-08-2010,0,31.81999969,24.01000023,,0,32.52999878,25.27000046,
13-08-2010,0,30.96999931,24.45000076,,0.508728921,32.06999969,25.78000069,
14-08-2010,4.901642799,31.56999969,23.21999931,,39.28919601,32.66999817,24.62000084,
15-08-2010,0.844669998,31.77000046,23.87000084,,31.7808609,32.86999893,25.20000076,
16-08-2010,1.936457753,31.52000046,24.19000053,,0,32.93000031,25.54000092,
17-08-2010,5.51439333,32.58000183,24.69000053,,1.439399362,33.45000076,25.71999931,
18-08-2010,0,31.86000061,24.53000069,,0,32.63999939,25.87999916,
19-08-2010,14.88157177,30.64999962,24.34000015,,0,31.97999954,25.31999969,
20-08-2010,0,30.45999908,24.48999977,,0,31.44000053,25.54000092,
21-08-2010,9.825544357,29.69000053,23.37999916,,0,30.95999908,24.79000092,
22-08-2010,2.02228117,31.29999924,23.73999977,,3.410243511,32.81000137,24.92000008,
23-08-2010,2.158754587,31.46999931,23.96999931,,4.215024471,32.68000031,25.14999962,
24-08-2010,4.166840553,31.45000076,23.5,,11.72762489,32.63999939,24.81999969,
25-08-2010,0.316751242,32.20000076,23.47999954,,0.682048678,33.18999863,24.93000031,
26-08-2010,0,32.93000031,23.90999985,,0,33.95999908,25.31999969,
27-08-2010,3.204698801,32.70000076,24.05999947,,0.682048678,33.43999863,25.52000046,
28-08-2010,11.53837967,32.90999985,23.71999931,,24.71377373,33.70000076,25.04000092,
29-08-2010,3.002549648,32.43999863,23.54000092,,0,32.97999954,24.84000015,
30-08-2010,36.6978569,30.70999908,22.73999977,,21.16602516,31.44000053,23.97999954,
31-08-2010,21.85198784,30.40999985,23.46999931,,50.64866257,30.56999969,24.64999962,
01-09-2010,0,30.06999969,23.53000069,,0.133962944,30.82999992,24.52000046,
02-09-2010,0.382455707,30.81999969,23.17000008,,0.575759709,32.20999908,24.68000031,
03-09-2010,0,30.95000076,23.75,,17.71254921,32.09000015,24.70000076,
04-09-2010,1.860037684,29.88999939,23.59000015,,4.030219078,30.79999924,24.85000038,
05-09-2010,25.2184639,30.78000069,23.36000061,,8.434702873,31.70999908,24.69000053,
06-09-2010,1.857961774,31.35000038,23.12000084,,6.660396576,32.27000046,24.45000076,
07-09-2010,1.19052577,31.18000031,23.76000023,,0,31.87999916,25.12999916,
08-09-2010,19.04285049,30.96999931,23.79000092,,1.498060346,31.59000015,24.96999931,
09-09-2010,0.968228877,28.78000069,23.88999939,,2.042232513,29.26000023,25.06999969,
10-09-2010,5.633502483,29.89999962,23.29999924,,85.01496124,30.80999947,24.34000015,
11-09-2010,0.114192136,29.57999992,23.05999947,,0.267925888,30.88999939,24.45000076,
12-09-2010,25.53435898,29.34000015,22.64999962,,5.097994804,30.85000038,23.81999969,
13-09-2010,3.633647919,29.85000038,23.12000084,,1.364097357,31.44000053,24.56999969,
14-09-2010,2.185461283,30.87000084,22.76000023,,5.419479847,31.69000053,24.09000015,
15-09-2010,14.57523727,31.56999969,23.15999985,,2.999927044,32.45000076,24.53000069,
16-09-2010,24.52608109,31.85000038,23.36000061,,2.912991762,32.79000092,24.69000053,
17-09-2010,0,32.52000046,23.28000069,,10.84464073,33.25999832,24.86000061,
18-09-2010,2.178514957,32.47999954,22.52000046,,0,33.29000092,23.97999954,
