date,ndvi,max_temp,rainfall_mm,month,bloom,risk_score,geometry
2014-05-25,0.3314,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2014-06-10,0.3663,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2014-06-26,0.1968,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2014-07-12,0.0796,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2014-07-28,0.0211,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2014-08-13,0.2545,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2014-08-29,0.4949,28.51999982,0.0,8,0,0.8,POINT (72.05 22.77)
2014-09-14,0.3578,28.51999982,0.0,9,0,0.4,POINT (72.05 22.77)
2014-09-30,0.6365,28.51999982,0.0,9,0,0.8,POINT (72.05 22.77)
2014-10-16,0.594,28.51999982,0.0,10,1,0.8,POINT (72.05 22.77)
2014-11-01,0.5874,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77)
2014-11-17,0.512,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77)
2014-12-03,0.3506,28.51999982,0.0,12,0,0.4,POINT (72.05 22.77)
2014-12-19,0.358,28.51999982,0.0,12,0,0.4,POINT (72.05 22.77)
2015-01-01,0.341,28.51999982,0.0,1,0,0.4,POINT (72.05 22.77)
2015-01-17,0.2779,28.51999982,0.0,1,0,0.4,POINT (72.05 22.77)
2015-02-02,0.223,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2015-02-18,0.3731,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2015-03-06,0.3333,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2015-03-22,0.3995,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2015-04-07,0.4262,28.51999982,0.0,4,0,0.8,POINT (72.05 22.77)
2015-04-23,0.3911,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2015-05-09,0.3242,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2015-05-25,0.2914,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2015-06-10,0.2838,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
