date,ndvi,max_temp,rainfall_mm,month,bloom,risk_score,geometry,ndvi_lag1,ndvi_lag2,ndvi_lag3,ndvi_lag4,max_temp_lag1,max_temp_lag2,max_temp_lag3,max_temp_lag4,rainfall_mm_lag1,rainfall_mm_lag2,rainfall_mm_lag3,rainfall_mm_lag4,ndvi_roll_mean_2,ndvi_roll_std_2,ndvi_roll_mean_4,ndvi_roll_std_4,ndvi_roll_mean_8,ndvi_roll_std_8,max_temp_roll_mean_2,max_temp_roll_std_2,max_temp_roll_mean_4,max_temp_roll_std_4,max_temp_roll_mean_8,max_temp_roll_std_8,rainfall_mm_roll_mean_2,rainfall_mm_roll_std_2,rainfall_mm_roll_mean_4,rainfall_mm_roll_std_4,rainfall_mm_roll_mean_8,rainfall_mm_roll_std_8,year,quarter,day_of_year,month_sin,month_cos,day_sin,day_cos,temp_ndvi_interaction,temp_rainfall_interaction,ndvi_rainfall_interaction,cumulative_rain_2periods,cumulative_rain_4periods,ndvi_change,ndvi_pct_change,max_temp_change,max_temp_pct_change,rainfall_mm_change,rainfall_mm_pct_change,bloom_next_1,bloom_next_2,bloom_next_4,risk_next_1,risk_next_2
2014-06-10,0.3663,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77),0.3314,0.4068,0.3627,0.3529,28.51999982,28.51999982,28.51999982,28.51999982,0.0,0.0,0.0,0.0,0.34885000000000005,0.024678026663404865,0.36680000000000007,0.0309312140078583,0.34309999999999996,0.038445434430779725,28.51999982,0.0,28.51999982,0.0,28.51999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,2,161,1.2246467991473532e-16,-1.0,0.36171373072976765,-0.9322892131745133,10.446875934066,0.0,0.0,0.0,0.0,0.03490000000000004,0.10531080265540149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2014-06-26,0.1968,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77),0.3663,0.3314,0.4068,0.3627,28.51999982,28.51999982,28.51999982,28.51999982,0.0,0.0,0.0,0.0,0.2815500000000001,0.11985459941111803,0.32532500000000003,0.09105439308457298,0.3323875,0.06228922028959474,28.51999982,0.0,28.51999982,0.0,28.51999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,2,177,1.2246467991473532e-16,-1.0,0.09453674981719912,-0.9955213724144752,5.612735964576,0.0,0.0,0.0,0.0,-0.1695,-0.46273546273546273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2014-07-12,0.0796,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77),0.1968,0.3663,0.3314,0.4068,28.51999982,28.51999982,28.51999982,28.51999982,0.0,0.0,0.0,0.0,0.13820000000000005,0.08287291475505892,0.24352500000000005,0.13146653249655063,0.3041625,0.10951817771493429,28.51999982,0.0,28.51999982,0.0,28.51999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3,193,-0.4999999999999997,-0.8660254037844388,-0.17976658572556214,-0.9837092937736098,2.270191985672,0.0,0.0,0.0,0.0,-0.1172,-0.5955284552845528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2014-07-28,0.0211,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77),0.0796,0.1968,0.3663,0.3314,28.51999982,28.51999982,28.51999982,28.51999982,0.0,0.0,0.0,0.0,0.05035000000000006,0.041365746699401816,0.16595000000000004,0.1522385080501424,0.2647,0.14665824218229231,28.51999982,0.0,28.51999982,0.0,28.51999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3,209,-0.4999999999999997,-0.8660254037844388,-0.4405187843504952,-0.8977433935342336,0.601771996202,0.0,0.0,0.0,0.0,-0.0585,-0.7349246231155779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8
2014-08-13,0.2545,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77),0.0211,0.0796,0.1968,0.3663,28.51999982,28.51999982,28.51999982,28.51999982,0.0,0.0,0.0,0.0,0.13780000000000006,0.16503872272893794,0.138,0.1066237309420372,0.2524,0.14226482348071817,28.51999982,0.0,28.51999982,0.0,28.51999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3,225,-0.8660254037844385,-0.5000000000000004,-0.6680638642135333,-0.7441039398713608,7.25833995419,0.0,0.0,0.0,0.0,0.2334,11.061611374407583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.4
2014-08-29,0.4949,28.51999982,0.0,8,0,0.8,POINT (72.05 22.77),0.2545,0.0211,0.0796,0.1968,28.51999982,28.51999982,28.51999982,28.51999982,0.0,0.0,0.0,0.0,0.37470000000000003,0.1699884701972453,0.21252500000000002,0.21276757859222806,0.26892499999999997,0.16306463004412847,28.51999982,0.0,28.51999982,0.0,28.51999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3,241,-0.8660254037844385,-0.5000000000000004,-0.8452490573530634,-0.5343725582809785,14.114547910917999,0.0,0.0,0.0,0.0,0.2404,0.9445972495088408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.8
2014-09-14,0.3578,28.51999982,0.0,9,0,0.4,POINT (72.05 22.77),0.4949,0.2545,0.0211,0.0796,28.51999982,28.51999982,28.51999982,28.51999982,0.0,0.0,0.0,0.0,0.42635000000000006,0.09694433970067495,0.282075,0.19991422118832183,0.26280000000000003,0.15798717850328386,28.51999982,0.0,28.51999982,0.0,28.51999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3,257,-1.0,-1.8369701987210297e-16,-0.9587178169872964,-0.2843591872810036,10.204455935596,0.0,0.0,0.0,0.0,-0.1371,-0.27702566174984844,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.8
2014-09-30,0.6365,28.51999982,0.0,9,0,0.8,POINT (72.05 22.77),0.3578,0.4949,0.2545,0.0211,28.51999982,28.51999982,28.51999982,28.51999982,0.0,0.0,0.0,0.0,0.49715000000000004,0.1970706599166908,0.435925,0.1660591536170166,0.3009375,0.2063387017052993,28.51999982,0.0,28.51999982,0.0,28.51999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3,273,-1.0,-1.8369701987210297e-16,-0.9999166586547379,-0.012910296075008843,18.15297988543,0.0,0.0,0.0,0.0,0.27869999999999995,0.7789267747344883,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8,0.8
2014-10-16,0.594,28.51999982,0.0,10,1,0.8,POINT (72.05 22.77),0.6365,0.3578,0.4949,0.2545,28.51999982,28.51999982,28.51999982,28.51999982,0.0,0.0,0.0,0.0,0.6152500000000001,0.0300520382004329,0.5208,0.12380702726420627,0.32939999999999997,0.23088713383692153,28.51999982,0.0,28.51999982,0.0,28.51999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4,289,-0.8660254037844386,0.5000000000000001,-0.965739937654855,0.25951179706979943,16.940879893079998,0.0,0.0,0.0,0.0,-0.04249999999999998,-0.0667714061272584,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8,0.8
2014-11-01,0.5874,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77),0.594,0.6365,0.3578,0.4949,28.51999982,28.51999982,28.51999982,28.51999982,0.0,0.0,0.0,0.0,0.5907,0.004666904755855209,0.543925,0.12597648920863466,0.37822500000000003,0.23996198359621163,28.51999982,0.0,28.51999982,0.0,28.51999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4,305,-0.5000000000000004,0.8660254037844384,-0.858763958275803,0.5123714121284235,16.752647894268,0.0,0.0,0.0,0.0,-0.006599999999999939,-0.01111111111111096,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.4
2014-11-17,0.512,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77),0.5874,0.594,0.6365,0.3578,28.51999982,28.51999982,28.51999982,28.51999982,0.0,0.0,0.0,0.0,0.5497000000000001,0.053315851301466904,0.5824750000000001,0.05177678855754993,0.432275,0.20990471137433492,28.51999982,0.0,28.51999982,0.0,28.51999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4,321,-0.5000000000000004,0.8660254037844384,-0.6870527672236675,0.7266075247685652,14.60223990784,0.0,0.0,0.0,0.0,-0.07540000000000002,-0.12836227442969017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2014-12-03,0.3506,28.51999982,0.0,12,0,0.4,POINT (72.05 22.77),0.512,0.5874,0.594,0.6365,28.51999982,28.51999982,28.51999982,28.51999982,0.0,0.0,0.0,0.0,0.43130000000000007,0.11412703448350806,0.5110000000000001,0.11321825530069456,0.4734625,0.13755755094297287,28.51999982,0.0,28.51999982,0.0,28.51999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4,337,-2.4492935982947064e-16,1.0,-0.4635502709028512,0.8860706215341378,9.999111936892,0.0,0.0,0.0,0.0,-0.1614,-0.31523437499999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2014-12-19,0.358,28.51999982,0.0,12,0,0.4,POINT (72.05 22.77),0.3506,0.512,0.5874,0.594,28.51999982,28.51999982,28.51999982,28.51999982,0.0,0.0,0.0,0.0,0.35430000000000006,0.005232590180747142,0.45200000000000007,0.11697737673014644,0.48639999999999994,0.11741412667501794,28.51999982,0.0,28.51999982,0.0,28.51999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4,353,-2.4492935982947064e-16,1.0,-0.20510449986861926,0.9787400799669153,10.210159935559998,0.0,0.0,0.0,0.0,0.007399999999999962,0.02110667427267532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2015-01-01,0.341,28.51999982,0.0,1,0,0.4,POINT (72.05 22.77),0.358,0.3506,0.512,0.5874,28.51999982,28.51999982,28.51999982,28.51999982,0.0,0.0,0.0,0.0,0.34950000000000003,0.012020815280156284,0.3904000000000001,0.08136485727880283,0.4671625,0.1279569116929602,28.51999982,0.0,28.51999982,0.0,28.51999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,1,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,9.72531993862,0.0,0.0,0.0,0.0,-0.01699999999999996,-0.04748603351955294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2015-01-17,0.2779,28.51999982,0.0,1,0,0.4,POINT (72.05 22.77),0.341,0.358,0.3506,0.512,28.51999982,28.51999982,28.51999982,28.51999982,0.0,0.0,0.0,0.0,0.30945000000000006,0.04461843789286598,0.33187500000000003,0.036650181900412276,0.457175,0.14024108578750077,28.51999982,0.0,28.51999982,0.0,28.51999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,17,0.49999999999999994,0.8660254037844387,0.288482432880609,0.9574851883550393,7.925707949977999,0.0,0.0,0.0,0.0,-0.06310000000000004,-0.18504398826979485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2015-02-02,0.223,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77),0.2779,0.341,0.358,0.3506,28.51999982,28.51999982,28.51999982,28.51999982,0.0,0.0,0.0,0.0,0.25045000000000006,0.03882016228713345,0.29997500000000005,0.06181264029306613,0.4054875,0.1409055553756284,28.51999982,0.0,28.51999982,0.0,28.51999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,33,0.8660254037844386,0.5000000000000001,0.5380051715382996,0.8429415373547828,6.35995995986,0.0,0.0,0.0,0.0,-0.05489999999999998,-0.19755307664627553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
